职位名称,发布者,发布时间,工作地点,工作年限要求,学历,爬虫时间,薪水范围
前端开发工程师,winter学习与发展,2018-07-05,广州,1-3年,大专,2018-07-13 10:04:38,9k-14k
产品运营,SallyHR,2018-07-05,广州,1-3年,大专,2018-07-13 10:04:38,5k-8k
内容分析员,winter学习与发展,2018-07-05,广州,1年以内,大专,2018-07-13 10:04:38,4k-6k
JAVA开发工程师,SallyHR,2018-07-05,广州,3-5年,本科,2018-07-13 10:04:38,10k-16k
内容分析员,winter学习与发展,2018-07-04,广州,1年以内,大专,2018-07-13 10:04:38,4k-5k
舆情专员,SallyHR,2018-07-03,广州,1年以内,本科,2018-07-13 10:04:38,4k-8k
客服专员,winter学习与发展,2018-06-27,广州,1-3年,大专,2018-07-13 10:04:38,4k-8k
短视频制作,winter学习与发展,2018-06-28,广州,1-3年,大专,2018-07-13 10:04:38,4k-8k
视频标签专员,winter学习与发展,2018-07-03,广州,1年以内,大专,2018-07-13 10:04:38,4k-6k
三审资深审核员,winter学习与发展,2018-06-20,广州,1-3年,大专,2018-07-13 10:04:38,6k-8k
培训管理,SallyHR,2018-06-19,广州,3-5年,本科,2018-07-13 10:04:38,8k-15k
知识库运营,SallyHR,2018-06-20,广州,1-3年,大专,2018-07-13 10:04:38,4k-6k
云客服运营经理,SallyHR,2018-06-13,广州,3-5年,本科,2018-07-13 10:04:38,10k-15k
交易猫仲裁,SallyHR,2018-06-13,广州,1-3年,大专,2018-07-13 10:04:38,4k-6k
算法研究员,苏冉旭高级算法专家,2018-06-25,北京,1-3年,本科,2018-07-13 10:04:38,25k-45k
游戏客服,SallyHR,2018-06-12,广州,1-3年,大专,2018-07-13 10:04:38,4k-6k
短视频栏目运营策划,winter学习与发展,2018-06-28,广州,1-3年,大专,2018-07-13 10:04:38,5k-10k
内容运营,winter学习与发展,2018-06-25,广州,1-3年,大专,2018-07-13 10:04:38,6k-10k
短视频拆条师,winter学习与发展,2018-06-06,广州,不限,大专,2018-07-13 10:04:38,3k-5k
